Date,Time,Power(dBm)
2018/6/4,9:25:44,-76
2018/6/4,9:28:44,-75
2018/6/4,9:31:44,-77
2018/6/4,9:34:44,-75
2018/6/4,9:37:44,-76
2018/6/4,9:40:44,-76
2018/6/4,9:43:44,-75
2018/6/4,9:46:44,-76
2018/6/4,9:49:44,-78
2018/6/4,9:52:44,-77
2018/6/4,9:55:44,-75
2018/6/4,9:58:44,-75
2018/6/4,10:01:44,-76
2018/6/4,10:04:44,-76
2018/6/4,10:07:44,-76
2018/6/4,10:10:44,-76
2018/6/4,10:13:44,-77
2018/6/4,10:16:44,-77
2018/6/4,10:19:44,-75
2018/6/4,10:22:44,-76
2018/6/4,10:25:44,-77
2018/6/4,10:28:44,-75
2018/6/4,10:31:44,-77
2018/6/4,10:34:44,-75
2018/6/4,10:37:44,-75
2018/6/4,10:40:44,-75
2018/6/4,10:43:44,-75
2018/6/4,10:46:44,-74
2018/6/4,10:49:44,-76
2018/6/4,10:52:44,-75
2018/6/4,10:55:44,-74
2018/6/4,10:58:44,-75
2018/6/4,11:01:44,-76
2018/6/4,11:04:44,-73
2018/6/4,11:07:44,-75
2018/6/4,11:10:44,-75
2018/6/4,11:13:44,-75
2018/6/4,11:16:44,-77
2018/6/4,11:19:44,-75
2018/6/4,11:22:44,-75
2018/6/4,11:25:44,-75
2018/6/4,11:28:44,-74
2018/6/4,11:31:44,-75
2018/6/4,11:34:44,-74
2018/6/4,11:37:44,-76
2018/6/4,11:40:44,-74
2018/6/4,11:43:44,-75
2018/6/4,11:46:44,-76
2018/6/4,11:49:44,-73
2018/6/4,11:52:44,-87
2018/6/4,11:55:44,-85
2018/6/4,11:58:44,-87
2018/6/4,12:01:44,-86
2018/6/4,12:04:44,-86
2018/6/4,12:07:45,-88
2018/6/4,12:10:45,-86
2018/6/4,12:13:45,-86
2018/6/4,12:16:45,-81
2018/6/4,12:19:45,-87
2018/6/4,12:22:45,-86
2018/6/4,12:25:45,-86
2018/6/4,12:28:45,-84
2018/6/4,12:31:45,-87
2018/6/4,12:34:45,-87
2018/6/4,12:37:45,-86
2018/6/4,12:40:45,-86
2018/6/4,12:43:45,-86
2018/6/4,12:46:45,-86
2018/6/4,12:49:45,-82
2018/6/4,12:52:45,-86
2018/6/4,12:55:45,-85
2018/6/4,12:58:45,-84
2018/6/4,13:01:45,-87
2018/6/4,13:04:45,-86
2018/6/4,13:07:45,-84
2018/6/4,13:10:45,-86
2018/6/4,13:13:45,-85
2018/6/4,13:16:45,-84
2018/6/4,13:19:45,-86
2018/6/4,13:22:45,-86
2018/6/4,13:25:45,-81
2018/6/4,13:28:45,-87
2018/6/4,13:31:45,-81
2018/6/4,13:34:45,-87
2018/6/4,13:37:45,-84
2018/6/4,13:40:45,-86
2018/6/4,13:43:45,-84
2018/6/4,13:46:45,-87
2018/6/4,13:49:45,-85
2018/6/4,13:52:45,-84
2018/6/4,13:55:45,-85
2018/6/4,13:58:45,-85
2018/6/4,14:01:45,-86
2018/6/4,14:04:45,-86
2018/6/4,14:07:45,-84
2018/6/4,14:10:45,-85
2018/6/4,14:13:45,-85
2018/6/4,14:16:45,-76
2018/6/4,14:19:45,-75
2018/6/4,14:22:45,-75
2018/6/4,14:25:45,-76
2018/6/4,14:28:45,-75
2018/6/4,14:31:45,-77
2018/6/4,14:34:45,-75
2018/6/4,14:37:45,-75
2018/6/4,14:40:45,-74
2018/6/4,14:43:45,-75
2018/6/4,14:46:45,-75
2018/6/4,14:49:45,-74
2018/6/4,14:52:45,-75
2018/6/4,14:55:45,-75
2018/6/4,14:58:45,-75
2018/6/4,15:01:45,-76
2018/6/4,15:04:45,-75
2018/6/4,15:07:45,-76
2018/6/4,15:10:45,-76
2018/6/4,15:13:45,-76
2018/6/4,15:16:45,-77
2018/6/4,15:19:45,-76
2018/6/4,15:22:45,-76
